,concept,overall_mean,overall_sd,last_quarter_mean,last_quarter_sd
92,hg80,0.7456709956709957,0.15926382804456407,0.8769841269841269,0.1556243773899014
93,hg81,0.7006802721088435,0.1007721588415848,0.8571428571428571,0.16848342146127682
94,hg82,0.7449494949494948,0.1460940976173811,0.8194444444444443,0.24806348749294102
95,hg83,0.7867965367965369,0.1307017027525488,0.8512396694214875,0.21850089365954192
96,hg84,0.7698412698412699,0.11016223710929639,0.8428571428571429,0.21728065802952065
97,hg85,0.7794273594909863,0.08734362791929587,0.9525691699604744,0.1133223018721854
98,hg86,0.7471395881006864,0.1031653462594952,0.917391304347826,0.11287613031084494
99,hg87,0.768170426065163,0.1208737398675438,0.8755980861244019,0.14512680275696746
100,hg88,0.5884732052578362,0.07903477384611214,0.5217391304347826,0.20897644523305245
101,hg89,0.7448512585812357,0.09390519235095283,0.8608695652173912,0.1052497255383496
102,hg90,0.6499999999999999,0.11521201987557342,0.6147186147186147,0.1633589806416728
103,hg91,0.8013833992094862,0.08168178086139352,0.8674242424242423,0.08939714940307533
104,hg92,0.7520325203252033,0.11690084426462119,0.8030303030303031,0.2190429135575903
105,hg93,0.6976284584980238,0.13020251208169842,0.8224637681159421,0.1810869420231855
106,hg94,0.722838137472284,0.12273483373035961,0.7933884297520662,0.1261515497725103
107,hg95,0.854289071680376,0.09251160717163137,0.9521739130434782,0.1379021871926409
108,hg96,0.8682926829268294,0.08974814386816633,0.9045454545454547,0.10552897060221726
109,hg97,0.6482683982683983,0.1354371397742577,0.6611570247933884,0.2469678148344452
110,hg98,0.6590389016018305,0.11882799665873886,0.7652173913043478,0.1808402986355254
111,hg99,0.7358276643990932,0.140552990633213,0.7662337662337662,0.19552536434002102
