,concept,overall,last_quarter,first_quarter,subject,overall_percentile,last_quarter_percentile,last_quarter_difference
77,hg65,0.6595744680851063,0.8181818181818182,0.2727272727272727,gemma_2b-it,4.761904761904762,9.523809523809524,-0.07070707070707061
78,hg66,0.5294117647058824,0.625,0.75,gemma_2b-it,8.695652173913043,47.826086956521735,-0.022058823529411797
79,hg67,0.5,0.36363636363636365,0.45454545454545453,gemma_2b-it,0.0,4.545454545454546,-0.2863636363636364
80,hg68,0.47619047619047616,0.8,0.4,gemma_2b-it,20.0,100.0,0.25
81,hg69,0.5952380952380952,0.6,0.3,gemma_2b-it,8.333333333333334,12.5,-0.4
82,hg70,0.37209302325581395,0.4,0.3,gemma_2b-it,0.0,4.545454545454546,-0.2666666666666666
83,hg71,0.6590909090909091,0.6363636363636364,0.7272727272727273,gemma_2b-it,4.761904761904762,4.761904761904762,-0.3136363636363636
84,hg72,0.6222222222222222,0.5454545454545454,0.6363636363636364,gemma_2b-it,17.391304347826086,8.695652173913043,-0.20454545454545459
85,hg73,0.6222222222222222,0.5454545454545454,0.5454545454545454,gemma_2b-it,47.61904761904762,23.80952380952381,-0.13875598086124408
86,hg74,0.47368421052631576,0.5714285714285714,0.21428571428571427,gemma_2b-it,8.695652173913043,26.08695652173913,-0.09523809523809523
87,hg75,0.46511627906976744,0.6,0.3,gemma_2b-it,24.0,36.0,-0.08421052631578951
88,hg76,0.4782608695652174,0.6363636363636364,0.36363636363636365,gemma_2b-it,22.72727272727273,63.63636363636364,0.0574162679425837
89,hg77,0.6382978723404256,0.7272727272727273,0.5454545454545454,gemma_2b-it,4.545454545454546,9.090909090909092,-0.2727272727272727
90,hg78,0.4827586206896552,0.5,0.42857142857142855,gemma_2b-it,8.695652173913043,8.695652173913043,-0.5
91,hg79,0.5319148936170213,0.7272727272727273,0.2727272727272727,gemma_2b-it,0.0,4.761904761904762,-0.2727272727272727
92,hg80,0.5957446808510638,0.8181818181818182,0.2727272727272727,gemma_2b-it,9.523809523809524,19.047619047619047,-0.18181818181818177
93,hg81,0.5384615384615384,0.6666666666666666,0.5555555555555556,gemma_2b-it,0.0,0.0,-0.27450980392156865
94,hg82,0.5405405405405406,0.4444444444444444,0.5555555555555556,gemma_2b-it,4.166666666666667,0.0,-0.5555555555555556
95,hg83,0.41304347826086957,0.5454545454545454,0.36363636363636365,gemma_2b-it,0.0,0.0,-0.4545454545454546
96,hg84,0.4358974358974359,0.3333333333333333,0.4444444444444444,gemma_2b-it,0.0,4.761904761904762,-0.6666666666666667
97,hg85,0.6744186046511628,0.8,0.6,gemma_2b-it,8.695652173913043,13.043478260869565,-0.19999999999999996
98,hg86,0.5853658536585366,0.7,0.7,gemma_2b-it,8.695652173913043,13.043478260869565,-0.30000000000000004
99,hg87,0.40425531914893614,0.7272727272727273,0.2727272727272727,gemma_2b-it,0.0,15.789473684210527,-0.2727272727272727
100,hg88,0.5357142857142857,0.5714285714285714,0.5,gemma_2b-it,23.80952380952381,42.857142857142854,-0.037267080745341685
101,hg89,0.6511627906976745,0.9,0.4,gemma_2b-it,4.545454545454546,72.72727272727273,0.13809523809523816
