,concept,subject,first_quarter,last_quarter,overall
244,hg100,bqc,0.35294117647058826,0.6666666666666666,0.6428571428571429
245,hg100,bvh,0.5882352941176471,0.8888888888888888,0.7428571428571429
246,hg100,byx,0.4117647058823529,0.5,0.5285714285714286
247,hg100,ceb,0.35294117647058826,1.0,0.6857142857142857
248,hg100,chb,0.5294117647058824,0.9444444444444444,0.8142857142857143
249,hg100,ckq,0.5882352941176471,0.7777777777777778,0.8
250,hg101,aby,0.5882352941176471,1.0,0.8714285714285714
251,hg101,ach,0.6470588235294118,0.6666666666666666,0.6
252,hg101,adc,0.5294117647058824,0.5,0.5714285714285714
253,hg101,ads,0.5882352941176471,0.5,0.6142857142857143
254,hg101,aee,0.47058823529411764,0.6111111111111112,0.5714285714285714
255,hg101,afs,0.5294117647058824,0.4444444444444444,0.5571428571428572
256,hg101,akb,0.5294117647058824,0.6666666666666666,0.6
257,hg101,apa,0.6470588235294118,0.4444444444444444,0.6428571428571429
258,hg101,ass,0.5882352941176471,0.7222222222222222,0.7285714285714285
259,hg101,aul,0.5294117647058824,0.6111111111111112,0.6714285714285714
260,hg101,avi,0.5882352941176471,0.8333333333333334,0.7714285714285715
261,hg101,awu,0.6470588235294118,0.5555555555555556,0.7142857142857143
262,hg101,azj,0.6470588235294118,0.5555555555555556,0.5571428571428572
263,hg101,bkv,0.7058823529411765,0.7222222222222222,0.6428571428571429
264,hg101,bmi,0.7058823529411765,0.8333333333333334,0.7285714285714285
265,hg101,bqc,0.5294117647058824,1.0,0.8857142857142857
266,hg101,bse,0.6470588235294118,0.8333333333333334,0.7142857142857143
267,hg101,bvz,0.47058823529411764,0.6111111111111112,0.6428571428571429
268,hg101,byb,0.5882352941176471,0.5,0.4857142857142857
269,hg101,bza,0.7058823529411765,0.6666666666666666,0.6285714285714286
270,hg101,ccp,0.5294117647058824,0.5555555555555556,0.5857142857142857
271,hg101,clc,0.5294117647058824,0.8333333333333334,0.6857142857142857
272,hg102,aaj,0.42105263157894735,0.55,0.5189873417721519
273,hg102,agu,0.47368421052631576,0.95,0.620253164556962
274,hg102,ahb,0.631578947368421,0.4,0.4430379746835443
275,hg102,aib,0.3684210526315789,0.55,0.5569620253164557
276,hg102,apa,0.3684210526315789,0.55,0.6329113924050633
277,hg102,aqq,0.42105263157894735,0.65,0.5063291139240507
278,hg102,atm,0.5263157894736842,0.3,0.5316455696202531
279,hg102,avh,0.3157894736842105,0.35,0.46835443037974683
280,hg102,avi,0.3157894736842105,0.35,0.46835443037974683
281,hg102,azp,0.5263157894736842,0.95,0.6962025316455697
282,hg102,bav,0.42105263157894735,0.55,0.5316455696202531
283,hg102,bbr,0.5263157894736842,1.0,0.7088607594936709
284,hg102,bgd,0.5263157894736842,0.85,0.620253164556962
285,hg102,bgm,0.6842105263157895,0.45,0.5949367088607594
286,hg102,bhc,0.5789473684210527,0.55,0.4936708860759494
287,hg102,bnz,0.42105263157894735,0.65,0.620253164556962
288,hg102,bpz,0.5789473684210527,0.8,0.569620253164557
289,hg102,bqs,0.631578947368421,0.6,0.569620253164557
290,hg102,btq,0.2631578947368421,0.25,0.31645569620253167
291,hg102,bty,0.5263157894736842,0.75,0.6329113924050633
292,hg102,bwz,0.42105263157894735,0.55,0.3924050632911392
293,hg102,bzg,0.3684210526315789,0.65,0.5316455696202531
294,hg102,bzl,0.42105263157894735,0.95,0.759493670886076
295,hg102,ced,0.3684210526315789,0.45,0.379746835443038
296,hg103,aai,0.5,0.5263157894736842,0.4931506849315068
297,hg103,ach,0.3888888888888889,0.47368421052631576,0.6164383561643836
298,hg103,afc,0.5555555555555556,1.0,0.726027397260274
299,hg103,ami,0.6111111111111112,0.5263157894736842,0.4657534246575342
300,hg103,ane,0.5,0.5789473684210527,0.5068493150684932
301,hg103,aof,0.5,0.5263157894736842,0.5342465753424658
302,hg103,aog,0.6666666666666666,0.5789473684210527,0.5205479452054794
303,hg103,atb,0.6666666666666666,1.0,0.7945205479452054
304,hg103,aws,0.5555555555555556,0.631578947368421,0.5753424657534246
305,hg103,azf,0.5555555555555556,0.21052631578947367,0.547945205479452
306,hg103,azp,0.6111111111111112,1.0,0.8082191780821918
307,hg103,bcy,0.4444444444444444,0.42105263157894735,0.3972602739726027
308,hg103,blz,0.6666666666666666,0.5263157894736842,0.5616438356164384
309,hg103,bpz,0.4444444444444444,0.15789473684210525,0.4246575342465753
310,hg103,bqq,0.5,0.3157894736842105,0.4931506849315068
311,hg103,bty,0.6111111111111112,0.3684210526315789,0.5616438356164384
312,hg103,bxy,0.6666666666666666,0.7894736842105263,0.7397260273972602
313,hg103,cai,0.6666666666666666,0.5263157894736842,0.5342465753424658
314,hg103,cay,0.4444444444444444,0.3157894736842105,0.410958904109589
315,hg103,ccm,0.6666666666666666,0.3157894736842105,0.5205479452054794
316,hg103,cjs,0.5555555555555556,0.5789473684210527,0.589041095890411
317,hg103,clc,0.6666666666666666,1.0,0.821917808219178
318,hg104,ach,0.631578947368421,1.0,0.9078947368421053
319,hg104,afs,0.3684210526315789,0.6,0.5263157894736842
320,hg104,agw,0.3157894736842105,0.9,0.6578947368421053
321,hg104,amz,0.631578947368421,1.0,0.8552631578947368
322,hg104,aof,0.7894736842105263,1.0,0.9078947368421053
323,hg104,avu,0.21052631578947367,0.5,0.40789473684210525
324,hg104,azp,0.3684210526315789,1.0,0.8421052631578947
325,hg104,bag,0.631578947368421,0.6,0.618421052631579
326,hg104,bar,0.631578947368421,0.8,0.6578947368421053
327,hg104,bct,0.7368421052631579,1.0,0.8289473684210527
328,hg104,bgn,0.3684210526315789,1.0,0.7894736842105263
329,hg104,bhm,0.5789473684210527,0.85,0.6578947368421053
330,hg104,bng,0.42105263157894735,0.75,0.618421052631579
331,hg104,bqq,0.631578947368421,0.6,0.618421052631579
332,hg104,bwz,0.5789473684210527,0.45,0.5263157894736842
333,hg104,byh,0.631578947368421,0.35,0.4868421052631579
334,hg104,bzl,0.47368421052631576,1.0,0.8421052631578947
335,hg104,cab,0.5263157894736842,0.55,0.5
336,hg104,cak,0.42105263157894735,0.65,0.6578947368421053
337,hg104,cch,0.7894736842105263,1.0,0.7894736842105263
338,hg104,ceb,0.631578947368421,1.0,0.7763157894736842
339,hg104,cfw,0.5789473684210527,1.0,0.8947368421052632
340,hg104,cjs,0.3684210526315789,0.55,0.47368421052631576
341,hg104,clc,0.5789473684210527,1.0,0.75
342,hg105,aby,0.3333333333333333,1.0,0.8055555555555556
343,hg105,aib,0.3888888888888889,0.5789473684210527,0.5
344,hg105,aoi,0.4444444444444444,0.9473684210526315,0.5972222222222222
345,hg105,att,0.5555555555555556,1.0,0.8611111111111112
346,hg105,auv,0.3888888888888889,1.0,0.7777777777777778
347,hg105,awf,0.5,0.631578947368421,0.5833333333333334
348,hg105,aws,0.5555555555555556,1.0,0.8611111111111112
349,hg105,bew,0.5555555555555556,0.8421052631578947,0.7222222222222222
350,hg105,bgd,0.6111111111111112,1.0,0.8611111111111112
351,hg105,bii,0.5,0.7368421052631579,0.6111111111111112
352,hg105,bka,0.16666666666666666,0.8947368421052632,0.5277777777777778
353,hg105,bqd,0.5,0.2631578947368421,0.4027777777777778
354,hg105,bty,0.5,0.5263157894736842,0.5416666666666666
355,hg105,bup,0.6111111111111112,1.0,0.875
356,hg105,bxu,0.4444444444444444,1.0,0.6527777777777778
357,hg105,cam,0.5,0.6842105263157895,0.6388888888888888
358,hg105,cch,0.3333333333333333,1.0,0.7638888888888888
359,hg105,cdv,0.5555555555555556,0.7894736842105263,0.6666666666666666
360,hg105,cdw,0.4444444444444444,0.8947368421052632,0.6805555555555556
361,hg105,cfw,0.6111111111111112,0.8421052631578947,0.7916666666666666
362,hg105,ckr,0.5,0.9473684210526315,0.7638888888888888
363,hg105,cle,0.3333333333333333,0.5789473684210527,0.4305555555555556
364,hg106,abm,0.631578947368421,0.65,0.6538461538461539
365,hg106,ach,0.631578947368421,0.7,0.7307692307692307
366,hg106,acq,0.7368421052631579,0.85,0.8076923076923077
367,hg106,ada,0.631578947368421,0.75,0.717948717948718
368,hg106,adq,0.6842105263157895,1.0,0.8205128205128205
369,hg106,aef,0.5789473684210527,0.3333333333333333,0.5970149253731343
370,hg106,aez,0.631578947368421,0.75,0.7435897435897436
371,hg106,afc,0.47368421052631576,0.8,0.6666666666666666
372,hg106,afs,0.6842105263157895,0.65,0.6153846153846154
373,hg106,ahb,0.6842105263157895,0.8,0.7948717948717948
374,hg106,ajc,0.6842105263157895,0.6,0.6794871794871795
375,hg106,ajt,0.6842105263157895,0.8,0.6666666666666666
376,hg106,anx,0.7368421052631579,0.75,0.7435897435897436
377,hg106,aoi,0.631578947368421,0.5,0.6538461538461539
378,hg106,atb,0.7368421052631579,0.8,0.782051282051282
379,hg106,atm,0.7894736842105263,0.65,0.7051282051282052
380,hg106,aws,0.7894736842105263,0.75,0.7692307692307693
381,hg106,bcr,0.6842105263157895,0.8,0.7051282051282052
382,hg106,bgm,0.7368421052631579,0.75,0.7692307692307693
383,hg106,bkc,0.7368421052631579,0.6,0.717948717948718
384,hg106,bxu,0.6842105263157895,0.8,0.7435897435897436
385,hg106,cak,0.5263157894736842,0.9,0.7435897435897436
386,hg106,ccf,0.8947368421052632,0.9,0.8461538461538461
387,hg106,ceb,0.6842105263157895,0.7142857142857143,0.7846153846153846
388,hg106,clc,0.7368421052631579,0.75,0.7435897435897436
389,hg107,aan,0.42105263157894735,0.65,0.5974025974025974
390,hg107,abz,0.6842105263157895,0.45,0.6233766233766234
391,hg107,aml,0.5789473684210527,1.0,0.7402597402597403
392,hg107,amz,0.631578947368421,1.0,0.8311688311688312
393,hg107,aqw,0.42105263157894735,0.85,0.7662337662337663
394,hg107,aso,0.42105263157894735,0.45,0.5454545454545454
395,hg107,auh,0.631578947368421,0.65,0.6883116883116883
396,hg107,aws,0.5789473684210527,1.0,0.8441558441558441
397,hg107,azk,0.47368421052631576,0.8,0.6233766233766234
398,hg107,bew,0.5789473684210527,1.0,0.8181818181818182
399,hg107,bhm,0.5789473684210527,1.0,0.8701298701298701
400,hg107,bly,0.42105263157894735,0.55,0.5454545454545454
401,hg107,brc,0.7368421052631579,0.75,0.6363636363636364
402,hg107,bty,0.6842105263157895,0.35,0.6233766233766234
403,hg107,bwl,0.5263157894736842,0.95,0.7402597402597403
404,hg107,bws,0.42105263157894735,0.6,0.5714285714285714
405,hg107,cai,0.5789473684210527,0.9,0.7922077922077922
406,hg107,cap,0.6842105263157895,0.55,0.5714285714285714
407,hg107,ccm,0.42105263157894735,0.7,0.5454545454545454
408,hg107,ceb,0.631578947368421,0.8,0.7662337662337663
409,hg107,cfw,0.5789473684210527,0.55,0.5844155844155844
410,hg107,cjg,0.5263157894736842,0.5,0.4025974025974026
411,hg107,ckj,0.6842105263157895,1.0,0.7922077922077922
412,hg108,abx,0.5,0.7058823529411765,0.6363636363636364
413,hg108,abz,0.6875,0.7058823529411765,0.7121212121212122
414,hg108,agu,0.6875,0.47058823529411764,0.5151515151515151
415,hg108,aib,0.375,0.5294117647058824,0.4696969696969697
416,hg108,aog,0.4375,0.47058823529411764,0.5
417,hg108,asn,0.5625,0.5882352941176471,0.5757575757575758
418,hg108,avb,0.6875,0.5294117647058824,0.5303030303030303
419,hg108,awm,0.5,0.6470588235294118,0.5757575757575758
420,hg108,aws,0.8125,1.0,0.9393939393939394
421,hg108,azp,0.4375,0.35294117647058826,0.4696969696969697
422,hg108,bdn,0.4375,0.7058823529411765,0.5151515151515151
423,hg108,bea,0.3125,0.5882352941176471,0.5757575757575758
424,hg108,beh,0.6875,0.6470588235294118,0.6060606060606061
425,hg108,bgm,0.5625,0.47058823529411764,0.5303030303030303
426,hg108,bii,0.5625,0.7647058823529411,0.696969696969697
427,hg108,bqq,0.375,0.47058823529411764,0.5
428,hg108,bse,0.625,0.8235294117647058,0.6666666666666666
429,hg108,bup,0.75,0.8823529411764706,0.8333333333333334
430,hg108,bwy,0.375,0.5882352941176471,0.5
431,hg108,bxy,0.5,0.35294117647058826,0.42424242424242425
432,hg108,byb,0.5625,0.29411764705882354,0.48484848484848486
433,hg108,ckj,0.4375,0.7647058823529411,0.6666666666666666
434,hg108,ckw,0.3125,0.8235294117647058,0.5757575757575758
435,hg108,ckx,0.3125,0.8235294117647058,0.5757575757575758
436,hg108,clc,0.625,0.8823529411764706,0.7272727272727273
437,hg109,adq,0.631578947368421,0.95,0.8589743589743589
438,hg109,aeq,0.6842105263157895,0.8,0.8076923076923077
439,hg109,afs,0.6842105263157895,0.8,0.8076923076923077
440,hg109,ajn,0.8421052631578947,0.9,0.8461538461538461
441,hg109,atb,0.7894736842105263,1.0,0.9230769230769231
