,concept,listnum,first_quarter_sd,first_quarter_se,first_quarter_mean,overall_mean,overall_se,overall_sd,last_quarter_se,last_quarter_mean,last_quarter_firstquartile,last_quarter_firstdecile,last_quarter_firstquintile,last_quarter_median,last_quarter_thirdquartile,last_quarter_firstpercentile,last_quarter_fifthpercentile,last_quarter_sd
66,hg21,L1,0.2041912630164362,0.032507203253848635,0.6096256684491976,0.7699724517906336,0.03859208189014298,0.17685113648751466,0.04455818662006933,0.8449197860962566,0.7647058823529411,0.48823529411764705,0.6705882352941177,1.0,1.0,0.4117647058823529,0.41470588235294115,0.2041912630164362
67,hg21,L2,0.15090870584562047,0.023979000222920502,0.6854166666666667,0.8433544303797468,0.025881294078658253,0.12412232600655607,0.03146664037551101,0.90625,0.825,0.65,0.75,1.0,1.0,0.5615,0.6075,0.15090870584562047
68,hg22,L1,0.08685022791228952,0.03513567766395656,0.70995670995671,0.8918767507002802,0.02500445236502567,0.11182331045670556,0.0194203013473229,0.9696969696969697,1.0,0.9545454545454546,1.0,1.0,1.0,0.6909090909090909,0.7272727272727273,0.08685022791228952
69,hg22,L2,0.1696999759233479,0.029185127806898817,0.6944444444444445,0.8327020202020203,0.030752205005177044,0.14092430722302365,0.03703157071909168,0.8787878787878789,0.7361111111111112,0.5666666666666667,0.6777777777777777,1.0,1.0,0.5555555555555556,0.5555555555555556,0.1696999759233479
70,hg23,L1,0.03330438557856054,0.02622025674512064,0.6689814814814815,0.9010416666666666,0.01215277777777778,0.05828267476248097,0.006944444444444442,0.9930555555555557,1.0,1.0,1.0,1.0,1.0,0.8716666666666667,1.0,0.03330438557856054
71,hg23,L2,0.10062641042880927,0.02778211403268926,0.8119834710743803,0.9149048625792813,0.022310212277436087,0.10223823653188399,0.021958482985795818,0.9586776859504134,0.9659090909090909,0.9090909090909092,0.9545454545454546,1.0,1.0,0.6027272727272727,0.8227272727272728,0.10062641042880927
72,hg24,L1,0.15572306756291726,0.025150790582232147,0.763157894736842,0.8978829389788294,0.024463834133448863,0.11210737170537383,0.0339815592646567,0.9545454545454546,1.0,0.9052631578947369,1.0,1.0,1.0,0.38473684210526315,0.8447368421052631,0.15572306756291726
73,hg24,L2,0.15827487949304397,0.03258543664819944,0.6507177033492824,0.8624401913875599,0.026453944605772734,0.12122720358612228,0.03453841028032799,0.944976076555024,1.0,0.9473684210526316,1.0,1.0,1.0,0.43210526315789466,0.4973684210526315,0.15827487949304397
74,hg25,L1,0.18632968094214084,0.031679937200894695,0.5675000000000001,0.7594936708860761,0.030360309126963594,0.13233751937908989,0.04274696049520887,0.8375,0.725,0.5,0.63,0.95,1.0,0.5,0.5,0.18632968094214084
75,hg25,L2,0.16474248919495035,0.023823184676910615,0.6085858585858586,0.8155467720685113,0.01959271775595423,0.08978511218656557,0.03594975842434784,0.9141414141414143,0.9444444444444444,0.6277777777777779,0.8555555555555556,1.0,1.0,0.4355555555555556,0.6111111111111112,0.16474248919495035
76,hg26,L1,0.12375754641106171,0.025779440593486923,0.7254901960784313,0.7766106442577031,0.020056638567753814,0.0896960144752831,0.027673028650371908,0.8263305322128852,0.7058823529411765,0.6470588235294118,0.7058823529411765,0.8235294117647058,0.9411764705882352,0.6470588235294118,0.6470588235294118,0.12375754641106171
77,hg26,L2,0.13299276232160895,0.032349424427197696,0.6619047619047619,0.8168498168498168,0.023741331857672045,0.1061744638202721,0.029738085706659038,0.8571428571428571,0.8,0.75,0.8,0.8,1.0,0.53,0.65,0.13299276232160895
78,hg27,L1,0.12985198121464359,0.03679838202065834,0.6666666666666666,0.7931677018633541,0.031032741223477867,0.14555645850512278,0.027684535415157283,0.8574879227053139,0.7777777777777778,0.6777777777777777,0.7444444444444445,0.8333333333333334,1.0,0.6111111111111112,0.6166666666666667,0.12985198121464359
79,hg27,L2,0.17487389633448788,0.03258176837768124,0.5903890160183065,0.751716247139588,0.031065801972507474,0.14571152716340285,0.037283239970409575,0.8832951945080091,0.8157894736842105,0.7368421052631579,0.7894736842105263,0.9473684210526316,1.0,0.37999999999999995,0.4526315789473684,0.17487389633448788
80,hg28,L1,0.20598678490513794,0.028613169175965066,0.6333333333333334,0.7253623188405797,0.03049964031133329,0.13294484993144123,0.047256609426649776,0.8027777777777778,0.7916666666666667,0.4444444444444444,0.6333333333333333,0.8333333333333334,1.0,0.35444444444444445,0.4388888888888889,0.20598678490513794
81,hg28,L2,0.19971624483227568,0.028892307343171896,0.6478260869565217,0.7413318657127133,0.026820604847290267,0.12579978766372693,0.042579646466093655,0.8021739130434782,0.6,0.51,0.5700000000000001,0.95,1.0,0.461,0.5,0.19971624483227568
82,hg29,L1,0.20547860471149854,0.031927935493038226,0.7297979797979799,0.7964426877470355,0.027824761440670757,0.12750907549596224,0.04483910760877865,0.8358585858585859,0.6527777777777778,0.5055555555555555,0.5666666666666667,0.9444444444444444,1.0,0.4444444444444444,0.4472222222222222,0.20547860471149854
83,hg29,L2,0.16450073402080537,0.035248851414413515,0.6195652173913043,0.7959866220735784,0.035058693080825855,0.1644398465451182,0.035071674334259444,0.9021739130434783,0.875,0.65,0.79,1.0,1.0,0.5,0.515,0.16450073402080537
84,hg30,L1,0.20138789936744328,0.032846777636977166,0.6944444444444444,0.7740076824583866,0.029863049869566144,0.136849686509528,0.043946442519021814,0.8131313131313131,0.7777777777777778,0.4666666666666667,0.6888888888888889,0.8888888888888888,0.9444444444444444,0.3333333333333333,0.33888888888888885,0.20138789936744328
85,hg30,L2,0.16474494684592872,0.04559944177170484,0.7248677248677249,0.7857142857142857,0.03144700437485548,0.14063527894182026,0.03683809000970862,0.8703703703703705,0.8888888888888888,0.6111111111111112,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.4111111111111111,0.5,0.16474494684592872
86,hg31,L1,0.15540270267920053,0.0212983196767405,0.5974999999999999,0.7397435897435898,0.02378760243094672,0.10368775510561923,0.035651825080617504,0.8400000000000002,0.8,0.6849999999999999,0.79,0.9,0.9125,0.388,0.54,0.15540270267920053
87,hg31,L2,0.1529275909460499,0.0213171707481899,0.7371428571428572,0.8229268292682927,0.02412580221958328,0.11819181014656976,0.031216213784240904,0.9085714285714286,0.9047619047619048,0.8285714285714286,0.9047619047619048,0.9523809523809524,1.0,0.379047619047619,0.580952380952381,0.1529275909460499
88,hg32,L1,0.12406109971536218,0.021601916523074177,0.7761904761904763,0.9030864197530866,0.016473016445654194,0.07180421398189021,0.028461568235988752,0.9642857142857142,1.0,0.9523809523809524,0.9904761904761905,1.0,1.0,0.5280952380952381,0.9261904761904762,0.12406109971536218
89,hg32,L2,0.1830656552801586,0.03354081803866628,0.6256038647342994,0.7559006211180123,0.03256793451444156,0.15275715331143408,0.03902972884583906,0.859903381642512,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.9444444444444444,1.0,0.37,0.5166666666666667,0.1830656552801586
90,hg33,L1,0.10832263866209697,0.02007795339789447,0.7936507936507937,0.8759553203997648,0.015510703758720362,0.06936597596672044,0.024221678355059572,0.8730158730158731,0.8571428571428571,0.7619047619047619,0.8095238095238095,0.9047619047619048,0.9523809523809524,0.5333333333333332,0.7619047619047619,0.10832263866209697
